feature,mean_abs_shap
Health_expenditure,0.02330226238054832
Labour_force_participation__female_male_pop____male,0.01855003802995507
Labour_force_participation__female_male_pop____female,0.018484918372362436
Population,0.01602394350919159
Seats_held_by_women_in_national_parliaments__,0.015595998325448081
CO2_emissions,0.014637680412280678
Mobile_cellular_subscriptions__per_100_inhabitants_39,0.013812197864838867
Urban_population_growth_rate__average_annual___,0.012611896900380967
International_trade__Imports__million_US__,0.012495452755460495
Surface_area__km2_,0.012188540480911326
Unemployment____of_labour_force_,0.01210868605695491
Life_expectancy_male,0.011708931944799692
Sex_ratio__m_per_100_f__2017_,0.011690469050805641
Balance_of_payments__current_account__million_US__,0.011333176883156739
Pop_using_improved_sanitation_facilities__urban_rural____,0.011256810124817124
Urban_population____of_total_population_,0.01091842940409673
International_trade__Balance__million_US__,0.010770404082925606
Population_growth_rate__average_annual___,0.010409789164939745
Economy__Agriculture____of_GVA_,0.010321060904540822
Internet_usage,0.010044325393853209
Employment__Industry____of_employed_,0.010041822332121473
Life_expectancy,0.00991945857147606
Population_density__per_km2__2017_,0.009726984960913301
GDP__Gross_domestic_product__million_current_US__,0.00966059873283548
Economy__Services_and_other_activity____of_GVA_,0.009510518636318204
GDP_per_capita,0.008274809244661065
Employment__Services____of_employed_,0.006714339126395058
gdp_health_ratio,0.0056094399018426855
Employment__Agriculture____of_employed_,0.005384901514883375
Energy_production__primary__Petajoules_,0.005292855047502168
